File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
fasciola_723g1_catepsin.lc96p	Abs Quant		A1	723G1	1juv	24.27		Positive	Unchecked	Unknown		24.22	0.070710678118652			A1	SYBR Green I	Unchecked	3.1132	6.61293899581516	None			1
fasciola_723g1_catepsin.lc96p	Abs Quant		A2	723G1	2juv	24.38		Positive	Unchecked	Unknown		24.435	0.0777817459305198			A2	SYBR Green I	Unchecked	2.9836	6.49940473645035	None			2
fasciola_723g1_catepsin.lc96p	Abs Quant		A3	723G1	3juv	24.2		Positive	Unchecked	Unknown		24.275	0.106066017177985			A3	SYBR Green I	Unchecked	3.0146	6.52411215498733	None			3
fasciola_723g1_catepsin.lc96p	Abs Quant		A4	723G1	egg1	29.02		Positive	Unchecked	Unknown		28.955	0.0919238815542492			A4	SYBR Green I	Unchecked	2.6202	6.08915701369561	None			4
fasciola_723g1_catepsin.lc96p	Abs Quant		A5	723G1	egg2	29.44		Positive	Unchecked	Unknown		29.465	0.0353553390593254			A5	SYBR Green I	Unchecked	2.3935	5.84447887197753	None			5
fasciola_723g1_catepsin.lc96p	Abs Quant		A6	723G1	egg3	31.58		Positive	Unchecked	Unknown		31.28	0.424264068711928			A6	SYBR Green I	Unchecked	2.1705	5.85750793698504	None			6
fasciola_723g1_catepsin.lc96p	Abs Quant		A7	723G1	met1	31.7		Positive	Unchecked	Unknown		32.37	0.947523086789975			A7	SYBR Green I	Unchecked	2.5779	6.04196594557581	None			7
fasciola_723g1_catepsin.lc96p	Abs Quant		A8	723G1	met2	33.14		Positive	Unchecked	Unknown		33.17	0.0424264068711945			A8	SYBR Green I	Unchecked	2.3607	5.75988867384668	None			8
fasciola_723g1_catepsin.lc96p	Abs Quant		A9	723G1	met3	34.35		Positive	Unchecked	Unknown		37.3	4.17193000900063			A9	SYBR Green I	Unchecked	2.4419	5.74506550244138	None			9
fasciola_723g1_catepsin.lc96p	Abs Quant		A10	723G1	ad1	21.24		Positive	Unchecked	Unknown		21.33	0.127279220613582			A10	SYBR Green I	Unchecked	2.7672	6.42557823702046	None			10
fasciola_723g1_catepsin.lc96p	Abs Quant		A11	723G1	ad2	21.35		Positive	Unchecked	Unknown		21.345	0.00707106781186532			A11	SYBR Green I	Unchecked	2.6179	6.31418995815624	None			11
fasciola_723g1_catepsin.lc96p	Abs Quant		A12	723G1	ad3	21.96		Positive	Unchecked	Unknown		21.98	0.0282842712474613			A12	SYBR Green I	Unchecked	2.864	6.45035036541276	None			12
fasciola_723g1_catepsin.lc96p	Abs Quant		B1	723G1	1juv	24.17		Positive	Unchecked	Unknown		24.22	0.070710678118652			A1	SYBR Green I	Unchecked	3.1676	6.6078279400719	None			13
fasciola_723g1_catepsin.lc96p	Abs Quant		B2	723G1	2juv	24.49		Positive	Unchecked	Unknown		24.435	0.0777817459305198			A2	SYBR Green I	Unchecked	2.7554	6.32020508284695	None			14
fasciola_723g1_catepsin.lc96p	Abs Quant		B3	723G1	3juv	24.35		Positive	Unchecked	Unknown		24.275	0.106066017177985			A3	SYBR Green I	Unchecked	2.7917	6.36148360256999	None			15
fasciola_723g1_catepsin.lc96p	Abs Quant		B4	723G1	egg1	28.89		Positive	Unchecked	Unknown		28.955	0.0919238815542492			A4	SYBR Green I	Unchecked	2.8766	6.26019671107601	None			16
fasciola_723g1_catepsin.lc96p	Abs Quant		B5	723G1	egg2	29.49		Positive	Unchecked	Unknown		29.465	0.0353553390593254			A5	SYBR Green I	Unchecked	2.9889	6.31106641725813	None			17
fasciola_723g1_catepsin.lc96p	Abs Quant		B6	723G1	egg3	30.98		Positive	Unchecked	Unknown		31.28	0.424264068711928			A6	SYBR Green I	Unchecked	2.5901	6.01915185607456	None			18
fasciola_723g1_catepsin.lc96p	Abs Quant		B7	723G1	met1	33.04		Positive	Unchecked	Unknown		32.37	0.947523086789975			A7	SYBR Green I	Unchecked	2.5129	5.95563238515176	None			19
fasciola_723g1_catepsin.lc96p	Abs Quant		B8	723G1	met2	33.2		Positive	Unchecked	Unknown		33.17	0.0424264068711945			A8	SYBR Green I	Unchecked	3.2022	6.48294900740677	None			20
fasciola_723g1_catepsin.lc96p	Abs Quant		B9	723G1	met3	40.25		Positive	Unchecked	Unknown		37.3	4.17193000900063			A9	SYBR Green I	Unchecked	2.1351	2.50008657711523	None			21
