File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
fasciola_823g4.lc96p	Abs Quant		A1	823g4	1juv	27.05		Positive	Unchecked	Unknown		26.9333333333333	0.265015722804014			A1	SYBR Green I	Unchecked	0.8815	3.80586996969831	None			1
fasciola_823g4.lc96p	Abs Quant		A2	823g4	2juv	27.32		Positive	Unchecked	Unknown		27.22	0.147986485869487			A2	SYBR Green I	Unchecked	0.9596	3.98267819276835	None			2
fasciola_823g4.lc96p	Abs Quant		A3	823g4	3juv	27.39		Positive	Unchecked	Unknown		27.4033333333333	0.160416125540213			A3	SYBR Green I	Unchecked	0.8915	3.81176681487615	None			3
fasciola_823g4.lc96p	Abs Quant		A4	823g4	egg1	32.41		Positive	Unchecked	Unknown		32.1933333333333	0.237135685491096			A4	SYBR Green I	Unchecked	0.8619	3.67204127055958	None			4
fasciola_823g4.lc96p	Abs Quant		A5	823g4	egg2	32.76		Positive	Unchecked	Unknown		32.62	0.121243556529824			A5	SYBR Green I	Unchecked	0.8043	3.58974926857824	None			5
fasciola_823g4.lc96p	Abs Quant		A6	823g4	egg3	34.88		Positive	Unchecked	Unknown		34.4566666666667	0.398036849215414			A6	SYBR Green I	Unchecked	0.7031	3.40700955628599	None			6
fasciola_823g4.lc96p	Abs Quant		A7	823g4	met1	33.92		Positive	Unchecked	Unknown		34.43	0.560446250768083			A7	SYBR Green I	Unchecked	0.7595	3.30796128379197	None			7
fasciola_823g4.lc96p	Abs Quant		A8	823g4	met2	33.58		Positive	Unchecked	Unknown		33.6966666666667	0.228546129552295			A8	SYBR Green I	Unchecked	0.728	3.15280217690956	None			8
fasciola_823g4.lc96p	Abs Quant		A9	823g4	met3	34.97		Positive	Unchecked	Unknown		34.5566666666667	0.380832421588989			A9	SYBR Green I	Unchecked	0.7589	3.29666989382814	None			9
fasciola_823g4.lc96p	Abs Quant		A10	823g4	ad1	24.21		Positive	Unchecked	Unknown		24.1466666666667	0.070945988845976			A10	SYBR Green I	Unchecked	0.8364	3.77256415779396	None			10
fasciola_823g4.lc96p	Abs Quant		A11	823g4	ad2	23.98		Positive	Unchecked	Unknown		23.9466666666667	0.0288675134594804			A11	SYBR Green I	Unchecked	0.8671	3.85747562620763	None			11
fasciola_823g4.lc96p	Abs Quant		A12	823g4	ad3	24.76		Positive	Unchecked	Unknown		24.7333333333333	0.0378593889720023			A12	SYBR Green I	Unchecked	0.9207	3.96015885066009	None			12
fasciola_823g4.lc96p	Abs Quant		B1	823g4	1juv	26.63		Positive	Unchecked	Unknown		26.9333333333333	0.265015722804014			A1	SYBR Green I	Unchecked	1.0189	4.16008795825005	None			13
fasciola_823g4.lc96p	Abs Quant		B2	823g4	2juv	27.05		Positive	Unchecked	Unknown		27.22	0.147986485869487			A2	SYBR Green I	Unchecked	0.9677	4.01185292351298	None			14
fasciola_823g4.lc96p	Abs Quant		B3	823g4	3juv	27.25		Positive	Unchecked	Unknown		27.4033333333333	0.160416125540213			A3	SYBR Green I	Unchecked	0.9911	4.10106013733993	None			15
fasciola_823g4.lc96p	Abs Quant		B4	823g4	egg1	31.94		Positive	Unchecked	Unknown		32.1933333333333	0.237135685491096			A4	SYBR Green I	Unchecked	0.8785	3.69770410309485	None			16
fasciola_823g4.lc96p	Abs Quant		B5	823g4	egg2	32.55		Positive	Unchecked	Unknown		32.62	0.121243556529824			A5	SYBR Green I	Unchecked	0.9402	3.84076548023644	None			17
fasciola_823g4.lc96p	Abs Quant		B6	823g4	egg3	34.4		Positive	Unchecked	Unknown		34.4566666666667	0.398036849215414			A6	SYBR Green I	Unchecked	0.7807	3.3678991769298	None			18
fasciola_823g4.lc96p	Abs Quant		B7	823g4	met1	34.34		Positive	Unchecked	Unknown		34.43	0.560446250768083			A7	SYBR Green I	Unchecked	0.8474	3.53841155227085	None			19
fasciola_823g4.lc96p	Abs Quant		B8	823g4	met2	33.96		Positive	Unchecked	Unknown		33.6966666666667	0.228546129552295			A8	SYBR Green I	Unchecked	0.851	3.5739649307384	None			20
fasciola_823g4.lc96p	Abs Quant		B9	823g4	met3	34.22		Positive	Unchecked	Unknown		34.5566666666667	0.380832421588989			A9	SYBR Green I	Unchecked	0.804	3.38946193645145	None			21
fasciola_823g4.lc96p	Abs Quant		B10	823g4	ad1	24.07		Positive	Unchecked	Unknown		24.1466666666667	0.070945988845976			A10	SYBR Green I	Unchecked	0.9485	4.06202960091566	None			22
fasciola_823g4.lc96p	Abs Quant		B11	823g4	ad2	23.93		Positive	Unchecked	Unknown		23.9466666666667	0.0288675134594804			A11	SYBR Green I	Unchecked	0.9764	4.14367510539371	None			23
fasciola_823g4.lc96p	Abs Quant		B12	823g4	ad3	24.75		Positive	Unchecked	Unknown		24.7333333333333	0.0378593889720023			A12	SYBR Green I	Unchecked	0.8832	3.87426911080697	None			24
fasciola_823g4.lc96p	Abs Quant		C1	823g4	1juv	27.12		Positive	Unchecked	Unknown		26.9333333333333	0.265015722804014			A1	SYBR Green I	Unchecked	0.9469	3.9753724178299	None			25
fasciola_823g4.lc96p	Abs Quant		C2	823g4	2juv	27.29		Positive	Unchecked	Unknown		27.22	0.147986485869487			A2	SYBR Green I	Unchecked	1.0805	4.31994544764072	None			26
fasciola_823g4.lc96p	Abs Quant		C3	823g4	3juv	27.57		Positive	Unchecked	Unknown		27.4033333333333	0.160416125540213			A3	SYBR Green I	Unchecked	1.1126	4.38494252770128	None			27
fasciola_823g4.lc96p	Abs Quant		C4	823g4	egg1	32.23		Positive	Unchecked	Unknown		32.1933333333333	0.237135685491096			A4	SYBR Green I	Unchecked	0.9883	3.94537534921916	None			28
fasciola_823g4.lc96p	Abs Quant		C5	823g4	egg2	32.55		Positive	Unchecked	Unknown		32.62	0.121243556529824			A5	SYBR Green I	Unchecked	0.919	3.76444720712649	None			29
fasciola_823g4.lc96p	Abs Quant		C6	823g4	egg3	34.09		Positive	Unchecked	Unknown		34.4566666666667	0.398036849215414			A6	SYBR Green I	Unchecked	0.8101	3.45768610750834	None			30
fasciola_823g4.lc96p	Abs Quant		C7	823g4	met1	35.03		Positive	Unchecked	Unknown		34.43	0.560446250768083			A7	SYBR Green I	Unchecked	0.8339	3.68099194756993	None			31
fasciola_823g4.lc96p	Abs Quant		C8	823g4	met2	33.55		Positive	Unchecked	Unknown		33.6966666666667	0.228546129552295			A8	SYBR Green I	Unchecked	0.9194	3.75256752485512	None			32
fasciola_823g4.lc96p	Abs Quant		C9	823g4	met3	34.48		Positive	Unchecked	Unknown		34.5566666666667	0.380832421588989			A9	SYBR Green I	Unchecked	0.9838	3.85307788154486	None			33
