"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj"
"rnd-5_family-747#Unknown",8838.22374004127,4.03875977593117,0.256721610321568,349.028393803305,2.42134517303171e-75,3.28092270945797e-72
"rnd-5_family-79#LINE/CR1",763.569006333803,-5.2823585889594,0.297201118817893,341.729244456413,9.2147570551396e-74,6.24299790485708e-71
"rnd-1_family-850#DNA/CMC-EnSpm",9486.88487368595,4.41081790173677,0.333825585650219,247.321339047682,2.4841048244125e-53,1.12198734569298e-50
"rnd-1_family-76#LINE/CR1",918.898278358771,-4.93897597224068,0.350831236345325,242.997081191098,2.13979016902259e-52,7.24853919756403e-50
"rnd-4_family-11#DNA/CMC-EnSpm",12998.860407188,-0.680013361981907,0.371351129808446,238.47988238864,2.02874391100067e-51,5.49789599881183e-49
"rnd-6_family-673#Unknown",662.507452022886,-2.2651664039225,0.473985161408948,229.726204036097,1.58493787789041e-49,2.99549765390856e-47
"rnd-1_family-338#LINE/CR1",332.349690188975,-6.60032363939817,0.543029503502278,229.630214255331,1.6625173568298e-49,2.99549765390856e-47
"rnd-5_family-15#DNA/CMC-EnSpm",704.071511936833,-1.88255281315721,0.355569158200895,229.506013006903,1.76855950046262e-49,2.99549765390856e-47
"rnd-5_family-895#LINE/L2",303.406834052869,0.0372282832354454,0.3246570873162,220.556082150487,1.52233676364063e-47,2.29196257192562e-45
"rnd-1_family-541#Unknown",203.00865003664,-1.80405895294973,0.36048178700883,206.658482355751,1.53579722969269e-44,2.08100524623359e-42
"rnd-5_family-805#DNA/CMC-EnSpm",10430.3245884346,4.02544116507547,0.327131176644313,205.257917697162,3.08318871465755e-44,3.7979279166918e-42
"rnd-6_family-21#Unknown",1775.21413382589,-1.91954937760825,0.470679384744919,197.851949601115,1.22824187387691e-42,1.38688978258601e-40
"rnd-1_family-297#Unknown",2253.79254000026,-2.73819814467168,0.452664632435379,190.466284379849,4.84042440963189e-41,5.04521159619324e-39
"rnd-6_family-2673#LTR/Gypsy",357.078876983139,-4.22628104118328,0.370810196008219,185.236356354586,6.52477163149385e-40,6.31504682905297e-38
"rnd-5_family-547#LTR/Gypsy",465.80859914143,-3.57462456863879,0.304667883267336,172.542116054671,3.59615731627657e-37,3.24852877570316e-35
"rnd-6_family-247#Unknown",143.283530006948,-6.2309383812996,0.537735961563797,168.189829596008,3.12926252042892e-36,2.65009419698824e-34
"rnd-5_family-2636#Unknown",157.113794317847,-7.28411743811971,0.670398570119393,161.565537156995,8.41913195651537e-35,6.71054341239902e-33
"rnd-5_family-1081#LTR/Gypsy",4779.43955543346,3.13268710026443,0.313568234936807,159.529546115053,2.31556531594436e-34,1.74310611283589e-32
"rnd-4_family-1109#Unknown",522.332312812235,2.15999547759909,0.433993436927618,154.134528280745,3.37903889048839e-33,2.40978826137462e-31
"rnd-1_family-357#DNA/CMC-EnSpm",898.293993620612,2.8769513157177,0.275635092726555,153.10027876158,5.64851536205126e-33,3.82686915778973e-31
"rnd-4_family-843#LINE/CR1",309.62826864966,2.23701125964666,0.345178639213347,151.957282806464,9.96612729211569e-33,6.43052499086512e-31
"rnd-1_family-889#Unknown",11883.8719984718,3.43519217431127,0.355897882379972,151.671331426253,1.14872548944129e-32,7.07510471905884e-31
"rnd-1_family-938#Unknown",874.766085169157,2.59423584656001,0.316546465217757,150.04021259597,2.58280622199074e-32,1.52160975252063e-30
"rnd-1_family-294#LINE/CR1",393.116129010988,-4.54640478645613,0.362970599842438,143.850013646855,5.58791319460059e-31,3.15484265778492e-29
