"","PC1"
"rnd-5_family-2636#Unknown",0.00604077797842382
"rnd-1_family-338#LINE/CR1",0.00598948456426014
"rnd-1_family-763#Unknown",0.00582134958334017
"rnd-1_family-850#DNA/CMC-EnSpm",0.00552713838916546
"rnd-6_family-247#Unknown",0.00549170492319342
"rnd-1_family-923#Unknown",0.00546585186885976
"rnd-5_family-79#LINE/CR1",0.00534427715808395
"rnd-5_family-2365#LTR/Pao",0.00531819840271679
"rnd-1_family-76#LINE/CR1",0.00512835063680058
"rnd-5_family-189#LTR/Pao",0.00509191323149251
"rnd-1_family-614#LINE/Penelope",0.00507222894343434
"rnd-5_family-747#Unknown",0.00501323183713672
"rnd-5_family-805#DNA/CMC-EnSpm",0.00497262361782366
"rnd-5_family-188#Unknown",0.00480330186594083
"rnd-1_family-494#Unknown",0.00475129217700827
"rnd-1_family-294#LINE/CR1",0.00456237166531283
"rnd-1_family-77#LINE/CR1",0.00452674376470232
"rnd-1_family-243#LINE/CR1",0.00451935523395687
"rnd-1_family-889#Unknown",0.00450116090326456
"rnd-5_family-521#Unknown",0.00445763132754842
"rnd-4_family-1109#Unknown",0.00441501543301445
"rnd-1_family-444#LINE/CR1",0.00441085030387236
"rnd-1_family-841#Unknown",0.00438700220627585
"rnd-5_family-342#Unknown",0.00436937338247847
"rnd-1_family-281#LINE/CR1",0.00436687420256683
"rnd-1_family-760#LTR/Gypsy",0.00430951808972264
"rnd-1_family-731#LINE/Penelope",0.00423408006639376
"rnd-1_family-540#LINE/CR1",0.00417581180337186
"rnd-1_family-511#LINE/CR1",0.00417220431105989
"rnd-1_family-373#LINE/CR1",0.00414882463900784
"rnd-6_family-940#LTR/Pao",0.00411006056343422
"rnd-5_family-23#LINE/Penelope",0.00407455503887719
"rnd-5_family-1081#LTR/Gypsy",0.00405228982177128
"rnd-5_family-1316#Unknown",0.00405166551140625
"rnd-1_family-388#LINE/CR1",0.00403272654061031
"rnd-5_family-897#Unknown",0.00402291602829126
"rnd-1_family-823#LTR/Gypsy",0.00401900664623956
"rnd-5_family-743#LINE/CR1",0.00399396896354715
"rnd-1_family-910#Unknown",0.0039211234752652
"rnd-1_family-327#LINE/CR1",0.00391722779378263
"rnd-1_family-351#LINE/CR1",0.00391390710730253
"rnd-1_family-319#LINE/CR1",0.00390296843475449
"rnd-1_family-88#LINE/CR1",0.00388616552153755
"rnd-5_family-357#LINE/CR1",0.00383615663728547
"rnd-1_family-202#LTR/Pao",0.00381909482218903
"rnd-1_family-82#LINE/CR1",0.00381574626347897
"rnd-1_family-160#Unknown",0.00378616551312608
"rnd-1_family-954#LINE/Penelope",0.00377022431690412
"rnd-1_family-469#Unknown",0.00376294289560212
"rnd-5_family-751#Unknown",0.00375516154929166
"rnd-1_family-938#Unknown",0.003738558898828
"rnd-6_family-2673#LTR/Gypsy",0.00370658314053244
"rnd-1_family-451#LINE/CR1",0.00366729391013846
"rnd-4_family-843#LINE/CR1",0.00361871842332811
"rnd-1_family-771#Unknown",0.00361266219032144
"rnd-1_family-483#Unknown",0.00360973877418381
"rnd-1_family-312#LINE/CR1",0.00360885713529151
"rnd-1_family-39#LINE/CR1",0.0035864006746444
"rnd-1_family-357#DNA/CMC-EnSpm",0.00353549039851487
"rnd-1_family-355#LINE/CR1-Zenon",0.00352684261675871
"rnd-5_family-1446#Unknown",0.00348417733366724
"rnd-1_family-297#Unknown",0.00347315503365482
"rnd-1_family-476#Unknown",0.00347161370881103
"rnd-1_family-521#LTR/Gypsy",0.00346715452367094
"rnd-1_family-509#LINE/CR1-Zenon",0.00345771990612331
"rnd-1_family-585#Unknown",0.00343680357816908
"rnd-5_family-546#LTR/Gypsy",0.0034318500055452
"rnd-1_family-613#LINE/CR1",0.00340248513207877
"rnd-5_family-183#Unknown",0.00339580002615088
"rnd-1_family-430#LINE/Rex-Babar",0.00339005689090397
"rnd-1_family-809#DNA/TcMar-Tc1",0.00335960631894694
"rnd-6_family-216#LINE/CR1-Zenon",0.00333680681369915
"rnd-5_family-2507#LTR/Pao",0.00332635104666274
"rnd-6_family-2447#Unknown",0.00332372971915262
"rnd-5_family-2037#Unknown",0.00332035591646399
"rnd-1_family-132#LTR/Gypsy",0.00330579075329814
"rnd-1_family-152#LINE/CR1",0.00330290050940876
"rnd-4_family-723#LINE/CR1",0.00329933265853777
"rnd-5_family-1722#LINE/CR1-Zenon",0.00328569427566963
"rnd-5_family-547#LTR/Gypsy",0.0032721123541373
"rnd-6_family-942#LTR/Pao",0.00325337360644853
"rnd-1_family-487#Unknown",0.00324209740660782
"rnd-1_family-650#Unknown",0.00322156122756261
"rnd-4_family-871#Unknown",0.0031492993482346
"rnd-1_family-396#LINE/CR1-Zenon",0.00313651009228893
"rnd-1_family-386#LINE/Penelope",0.0031343681662432
"rnd-1_family-221#LINE/CR1",0.00312255972788387
"rnd-5_family-389#Unknown",0.00312024447908545
"rnd-1_family-754#LTR/Gypsy",0.00311787043185339
"rnd-6_family-155#LTR/Pao",0.00309306988195051
"rnd-3_family-257#Unknown",0.00307726744528967
"rnd-1_family-609#Unknown",0.00307571357344291
"rnd-1_family-948#LINE/Penelope",0.00304277881453704
"rnd-6_family-736#LTR/Gypsy",0.00303484389793366
"rnd-5_family-1808#Unknown",0.00300274547747001
"rnd-6_family-1136#Unknown",0.00297406026046552
"rnd-4_family-534#LINE/CR1",0.00297160858157063
"rnd-1_family-371#Unknown",0.0029691734665648
"rnd-1_family-837#LTR/Gypsy",0.00295475448498546
"rnd-1_family-704#LINE/CR1",0.00291844566517672
"rnd-5_family-15#DNA/CMC-EnSpm",0.00291599674773471
"rnd-5_family-321#Unknown",0.00290665177572901
"rnd-1_family-440#LTR/Pao",0.00290145870173246
"rnd-1_family-58#LINE/CR1",0.00288137808818759
"rnd-1_family-565#LTR/Gypsy",0.00286453979046319
"rnd-1_family-500#Unknown",0.00285860235295957
"rnd-1_family-724#Unknown",0.00285448076407901
"rnd-6_family-3101#Satellite",0.00284296952578083
"rnd-5_family-96#Unknown",0.00283355714652882
"rnd-6_family-21#Unknown",0.00282375258494982
"rnd-1_family-276#LINE/CR1-Zenon",0.0028232058367159
"rnd-5_family-1210#LINE/Penelope",0.00279716612761348
"rnd-6_family-590#Unknown",0.0027707851130012
"rnd-1_family-905#LTR/Gypsy",0.00274328757381222
"rnd-1_family-170#LINE/CR1",0.00273449821832503
"rnd-4_family-111#LTR/Gypsy",0.00270329185247394
"rnd-1_family-375#LTR/Gypsy",0.0027010176859565
"rnd-1_family-949#DNA/TcMar-Tc1",0.00269975900427677
"rnd-1_family-778#Unknown",0.00268207386917161
"rnd-1_family-194#Unknown",0.00267405829787672
"rnd-6_family-2216#Unknown",0.00266750115912664
"rnd-6_family-56#Unknown",0.00266380270197807
"rnd-4_family-549#Unknown",0.00265945860414116
"rnd-1_family-60#LINE/CR1",0.00265581789341213
"rnd-5_family-2138#Unknown",0.00264489848962125
"rnd-1_family-644#Unknown",0.00263207459488388
"rnd-5_family-409#Unknown",0.0026317653990185
"rnd-1_family-395#LINE/Penelope",0.00262120795429731
"rnd-5_family-1351#Unknown",0.00261968053195709
"rnd-1_family-741#LINE/Penelope",0.00261704666036464
"rnd-1_family-40#Unknown",0.00260080580832272
"rnd-5_family-2143#LTR/Pao",0.00259164260995973
"rnd-6_family-1233#Unknown",0.00258769990636402
"rnd-5_family-184#LINE/Penelope",0.00257426861109868
"rnd-5_family-62#Unknown",0.0025741106020871
"rnd-1_family-17#LINE/CR1",0.00257001390595041
"rnd-1_family-925#Unknown",0.00256173206389229
