Color	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
255;132;197;238	A1	760G1	1juv	23.80	-	Positive	Unchecked	Unknown	-	23.66	0.20	-	-	A1	SYBR Green I	 	1.33	4.83	None			1
255;132;197;238	A2	760G1	2juv	23.89	-	Positive	Unchecked	Unknown	-	23.91	0.02	-	-	A2	SYBR Green I	 	1.46	5.08	None			2
255;132;197;238	A3	760G1	3juv	23.73	-	Positive	Unchecked	Unknown	-	23.95	0.30	-	-	A3	SYBR Green I	 	1.51	5.16	None			3
255;132;197;238	A4	760G1	egg1	29.49	-	Positive	Unchecked	Unknown	-	29.41	0.11	-	-	A4	SYBR Green I	 	1.37	4.77	None			4
255;132;197;238	A5	760G1	egg2	29.43	-	Positive	Unchecked	Unknown	-	29.50	0.09	-	-	A5	SYBR Green I	 	1.32	4.71	None			5
255;132;197;238	A6	760G1	egg3	31.38	-	Positive	Unchecked	Unknown	-	31.46	0.11	-	-	A6	SYBR Green I	 	1.30	4.59	None			6
255;132;197;238	A7	760G1	met1	33.70	-	Positive	Unchecked	Unknown	-	34.13	0.61	-	-	A7	SYBR Green I	 	1.31	4.53	None			7
255;132;197;238	A8	760G1	met2	33.92	-	Positive	Unchecked	Unknown	-	33.58	0.48	-	-	A8	SYBR Green I	 	1.31	4.55	None			8
255;132;197;238	A9	760G1	met3	35.18	-	Positive	Unchecked	Unknown	-	34.79	0.56	-	-	A9	SYBR Green I	 	1.45	4.57	None			9
255;132;197;238	A10	760G1	ad1	20.83	-	Positive	Unchecked	Unknown	-	20.82	0.02	-	-	A10	SYBR Green I	 	1.62	5.36	None			10
255;132;197;238	A11	760G1	ad2	20.61	-	Positive	Unchecked	Unknown	-	20.69	0.11	-	-	A11	SYBR Green I	 	1.63	5.37	None			11
255;132;197;238	A12	760G1	ad3	21.81	-	Positive	Unchecked	Unknown	-	21.83	0.02	-	-	A12	SYBR Green I	 	1.72	5.50	None			12
255;132;197;238	B1	760G1	1juv	23.52	-	Positive	Unchecked	Unknown	-	23.66	0.20	-	-	A1	SYBR Green I	 	1.49	5.11	None			13
255;132;197;238	B2	760G1	2juv	23.92	-	Positive	Unchecked	Unknown	-	23.91	0.02	-	-	A2	SYBR Green I	 	1.45	5.10	None			14
255;132;197;238	B3	760G1	3juv	24.16	-	Positive	Unchecked	Unknown	-	23.95	0.30	-	-	A3	SYBR Green I	 	1.56	5.26	None			15
255;132;197;238	B4	760G1	egg1	29.33	-	Positive	Unchecked	Unknown	-	29.41	0.11	-	-	A4	SYBR Green I	 	1.43	4.90	None			16
