File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
fasciola_1109u1.lc96p	Abs Quant		A1	297U1	1juv	26.93		Positive	Unchecked	Unknown		26.9966666666667	0.0832666399786455			A1	SYBR Green I	Unchecked	2.224	5.00853632606918	None			1
fasciola_1109u1.lc96p	Abs Quant		A2	297U1	2juv	27.62		Positive	Unchecked	Unknown		27.8766666666667	0.231588715902423			A2	SYBR Green I	Unchecked	2.3434	5.13117510869149	None			2
fasciola_1109u1.lc96p	Abs Quant		A3	297U1	3juv	27.04		Positive	Unchecked	Unknown		26.91	0.117898261225518			A3	SYBR Green I	Unchecked	2.4864	5.25435776211441	None			3
fasciola_1109u1.lc96p	Abs Quant		A4	297U1	egg1	29.49		Positive	Unchecked	Unknown		29.42	0.204205778566619			A4	SYBR Green I	Unchecked	2.4596	5.57836674369631	None			4
fasciola_1109u1.lc96p	Abs Quant		A5	297U1	egg2	30.41		Positive	Unchecked	Unknown		29.9966666666667	0.360185137579735			A5	SYBR Green I	Unchecked	2.247	5.34501981545796	None			5
fasciola_1109u1.lc96p	Abs Quant		A6	297U1	egg3	31.59		Positive	Unchecked	Unknown		31.5066666666667	0.255408170059875			A6	SYBR Green I	Unchecked	1.9646	5.08417612696358	None			6
fasciola_1109u1.lc96p	Abs Quant		A7	297U1	met1	33.42		Positive	Unchecked	Unknown		32.4333333333333	0.965729430706828			A7	SYBR Green I	Unchecked	1.9995	5.17676957323314	None			7
fasciola_1109u1.lc96p	Abs Quant		A8	297U1	met2	31.61		Positive	Unchecked	Unknown		32.0633333333333	0.708684226812855			A8	SYBR Green I	Unchecked	1.9502	5.16730538914747	None			8
fasciola_1109u1.lc96p	Abs Quant		A9	297U1	met3	33.28		Positive	Unchecked	Unknown		32.6033333333333	0.647327840690737			A9	SYBR Green I	Unchecked	2.0354	5.22958622754149	None			9
fasciola_1109u1.lc96p	Abs Quant		A10	297U1	ad1	24.19		Positive	Unchecked	Unknown		24.1666666666667	0.0585946527708233			A10	SYBR Green I	Unchecked	2.4497	5.52207414888732	None			10
