File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
fasciola_760g1.lc96p	Abs Quant		A1	760G1	1juv	25.41		Positive	Unchecked	Unknown		25.1333333333333	0.290918086982115			A1	SYBR Green I	Unchecked	1.1147	4.379271	None			1
fasciola_760g1.lc96p	Abs Quant		A2	760G1	2juv	25.36		Positive	Unchecked	Unknown		25.3333333333333	0.0378593889720026			A2	SYBR Green I	Unchecked	1.2273	4.581844	None			2
fasciola_760g1.lc96p	Abs Quant		A3	760G1	3juv	25.15		Positive	Unchecked	Unknown		25.3033333333333	0.160416125540213			A3	SYBR Green I	Unchecked	1.312	4.723436	None			3
fasciola_760g1.lc96p	Abs Quant		A4	760G1	egg1	31.8		Positive	Unchecked	Unknown		31.4166666666667	0.332916405923969			A4	SYBR Green I	Unchecked	1.2169	4.485118	None			4
fasciola_760g1.lc96p	Abs Quant		A5	760G1	egg2	30.98		Positive	Unchecked	Unknown		30.8733333333333	0.105039675043925			A5	SYBR Green I	Unchecked	1.107	4.128665	None			5
fasciola_760g1.lc96p	Abs Quant		A6	760G1	egg3	34		Positive	Unchecked	Unknown		33.9966666666667	0.165025250593152			A6	SYBR Green I	Unchecked	1.0128	4.023255	None			6
fasciola_760g1.lc96p	Abs Quant		A7	760G1	met1	34.11		Positive	Unchecked	Unknown		35.0566666666667	1.22484012562184			A7	SYBR Green I	Unchecked	0.9441	4.064504	None			7
fasciola_760g1.lc96p	Abs Quant		A8	760G1	met2	35.55		Positive	Unchecked	Unknown		35.99	0.393954312071846			A8	SYBR Green I	Unchecked	0.9431	3.785613	None			8
fasciola_760g1.lc96p	Abs Quant		A9	760G1	met3	37.09		Positive	Unchecked	Unknown		36.35	1.68650526236949			A9	SYBR Green I	Unchecked	1.0452	3.653564	None			9
fasciola_760g1.lc96p	Abs Quant		A10	760G1	ad1	22.25		Positive	Unchecked	Unknown		22.38	0.112694276695845			A10	SYBR Green I	Unchecked	1.1707	4.523378	None			10
fasciola_760g1.lc96p	Abs Quant		A11	760G1	ad2	22.21		Positive	Unchecked	Unknown		22.1966666666667	0.061101009266078			A11	SYBR Green I	Unchecked	1.1074	4.338345	None			11
fasciola_760g1.lc96p	Abs Quant		A12	760G1	ad3	23.17		Positive	Unchecked	Unknown		23.73	0.497292670366252			A12	SYBR Green I	Unchecked	0.9846	4.003966	None			12
fasciola_760g1.lc96p	Abs Quant		B1	760G1	1juv	24.83		Positive	Unchecked	Unknown		25.1333333333333	0.290918086982115			A1	SYBR Green I	Unchecked	1.3275	4.752253	None			13
fasciola_760g1.lc96p	Abs Quant		B2	760G1	2juv	25.29		Positive	Unchecked	Unknown		25.3333333333333	0.0378593889720026			A2	SYBR Green I	Unchecked	1.3052	4.758243	None			14
fasciola_760g1.lc96p	Abs Quant		B3	760G1	3juv	25.47		Positive	Unchecked	Unknown		25.3033333333333	0.160416125540213			A3	SYBR Green I	Unchecked	1.3005	4.811892	None			15
fasciola_760g1.lc96p	Abs Quant		B4	760G1	egg1	31.25		Positive	Unchecked	Unknown		31.4166666666667	0.332916405923969			A4	SYBR Green I	Unchecked	1.2678	4.639678	None			16
fasciola_760g1.lc96p	Abs Quant		B5	760G1	egg2	30.77		Positive	Unchecked	Unknown		30.8733333333333	0.105039675043925			A5	SYBR Green I	Unchecked	1.2626	4.566154	None			17
fasciola_760g1.lc96p	Abs Quant		B6	760G1	egg3	34.16		Positive	Unchecked	Unknown		33.9966666666667	0.165025250593152			A6	SYBR Green I	Unchecked	1.0534	4.262255	None			18
fasciola_760g1.lc96p	Abs Quant		B7	760G1	met1	36.44		Positive	Unchecked	Unknown		35.0566666666667	1.22484012562184			A7	SYBR Green I	Unchecked	1.1352	3.991852	None			19
fasciola_760g1.lc96p	Abs Quant		B8	760G1	met2	36.11		Positive	Unchecked	Unknown		35.99	0.393954312071846			A8	SYBR Green I	Unchecked	1.1422	3.971897	None			20
fasciola_760g1.lc96p	Abs Quant		B9	760G1	met3	37.54		Positive	Unchecked	Unknown		36.35	1.68650526236949			A9	SYBR Green I	Unchecked	1.1439	3.595086	None			21
fasciola_760g1.lc96p	Abs Quant		B10	760G1	ad1	22.45		Positive	Unchecked	Unknown		22.38	0.112694276695845			A10	SYBR Green I	Unchecked	1.2186	4.650559	None			22
