File Name	Analysis Name	Plate Id	Position	Sample Name	Gene Name	Cq	Concentration	Call	Excluded	Sample Type	Standard	Cq Mean	Cq Error	Concentration Mean	Concentration Error	Replicate Group	Dye	Edited Call	Slope	EPF	Failure	Notes	Sample Prep Notes	Number
fasciola_7_04.lc96p	Abs Quant		A1	760G1	1juv	23.42		Positive	Unchecked	Unknown		23.4	0.0282842712474626			A1	SYBR Green I	Unchecked	2.5384	6.26368353865232	None			1
fasciola_7_04.lc96p	Abs Quant		A2	760G1	2juv	23.3		Positive	Unchecked	Unknown		23.36	0.0848528137423877			A2	SYBR Green I	Unchecked	2.9845	6.67982802806713	None			2
fasciola_7_04.lc96p	Abs Quant		A3	760G1	3juv	23.47		Positive	Unchecked	Unknown		23.415	0.0777817459305198			A3	SYBR Green I	Unchecked	2.77	6.52496714366106	None			3
fasciola_7_04.lc96p	Abs Quant		A4	760G1	egg1	29.29		Positive	Unchecked	Unknown		29.415	0.176776695296637			A4	SYBR Green I	Unchecked	2.9751	6.49854309735093	None			4
fasciola_7_04.lc96p	Abs Quant		A5	760G1	egg2	29.12		Positive	Unchecked	Unknown		29.12	0			A5	SYBR Green I	Unchecked	2.7119	6.30587724521951	None			5
fasciola_7_04.lc96p	Abs Quant		A6	760G1	egg3	32.01		Positive	Unchecked	Unknown		32.005	0.00707106781186156			A6	SYBR Green I	Unchecked	2.4257	5.9635768166248	None			6
fasciola_7_04.lc96p	Abs Quant		A7	760G1	met1	32.57		Positive	Unchecked	Unknown		32.645	0.106066017177984			A7	SYBR Green I	Unchecked	2.61	6.06709513639184	None			7
fasciola_7_04.lc96p	Abs Quant		A8	760G1	met2	34.26		Positive	Unchecked	Unknown		33.905	0.502045814642452			A8	SYBR Green I	Unchecked	2.614	5.992767199619	None			8
fasciola_7_04.lc96p	Abs Quant		A9	760G1	met3	34.69		Positive	Unchecked	Unknown		34.075	0.869741340859454			A9	SYBR Green I	Unchecked	2.9526	6.1280898554752	None			9
fasciola_7_04.lc96p	Abs Quant		A10	760G1	ad1	20.23		Positive	Unchecked	Unknown		20.27	0.0565685424949226			A10	SYBR Green I	Unchecked	2.907	6.67430920159121	None			10
fasciola_7_04.lc96p	Abs Quant		A11	760G1	ad2	20.15		Positive	Unchecked	Unknown		20.065	0.120208152801711			A11	SYBR Green I	Unchecked	2.8626	6.64277186654766	None			11
fasciola_7_04.lc96p	Abs Quant		A12	760G1	ad3	21.63		Positive	Unchecked	Unknown		21.655	0.0353553390593266			A12	SYBR Green I	Unchecked	2.9602	6.64800777474605	None			12
fasciola_7_04.lc96p	Abs Quant		B1	760G1	1juv	23.38		Positive	Unchecked	Unknown		23.4	0.0282842712474626			A1	SYBR Green I	Unchecked	2.6153	6.37221251714305	None			13
fasciola_7_04.lc96p	Abs Quant		B2	760G1	2juv	23.42		Positive	Unchecked	Unknown		23.36	0.0848528137423877			A2	SYBR Green I	Unchecked	2.9188	6.64094303318761	None			14
fasciola_7_04.lc96p	Abs Quant		B3	760G1	3juv	23.36		Positive	Unchecked	Unknown		23.415	0.0777817459305198			A3	SYBR Green I	Unchecked	2.919	6.62675722884851	None			15
fasciola_7_04.lc96p	Abs Quant		B4	760G1	egg1	29.54		Positive	Unchecked	Unknown		29.415	0.176776695296637			A4	SYBR Green I	Unchecked	2.6713	6.25823233876333	None			16
fasciola_7_04.lc96p	Abs Quant		B5	760G1	egg2	29.12		Positive	Unchecked	Unknown		29.12	0			A5	SYBR Green I	Unchecked	2.6315	6.23865345689048	None			17
fasciola_7_04.lc96p	Abs Quant		B6	760G1	egg3	32		Positive	Unchecked	Unknown		32.005	0.00707106781186156			A6	SYBR Green I	Unchecked	2.648	6.16780549195421	None			18
fasciola_7_04.lc96p	Abs Quant		B7	760G1	met1	32.72		Positive	Unchecked	Unknown		32.645	0.106066017177984			A7	SYBR Green I	Unchecked	2.3247	5.83712563505071	None			19
fasciola_7_04.lc96p	Abs Quant		B8	760G1	met2	33.55		Positive	Unchecked	Unknown		33.905	0.502045814642452			A8	SYBR Green I	Unchecked	2.6334	6.11393635283162	None			20
fasciola_7_04.lc96p	Abs Quant		B9	760G1	met3	33.46		Positive	Unchecked	Unknown		34.075	0.869741340859454			A9	SYBR Green I	Unchecked	2.4053	5.90427260350703	None			21
fasciola_7_04.lc96p	Abs Quant		B10	760G1	ad1	20.31		Positive	Unchecked	Unknown		20.27	0.0565685424949226			A10	SYBR Green I	Unchecked	3.018	6.77158066829917	None			22
fasciola_7_04.lc96p	Abs Quant		B11	760G1	ad2	19.98		Positive	Unchecked	Unknown		20.065	0.120208152801711			A11	SYBR Green I	Unchecked	2.9161	6.68756882419549	None			23
fasciola_7_04.lc96p	Abs Quant		B12	760G1	ad3	21.68		Positive	Unchecked	Unknown		21.655	0.0353553390593266			A12	SYBR Green I	Unchecked	2.8962	6.6461631401567	None			24
fasciola_7_04.lc96p	Abs Quant		C1	355Z1	1juv	26.53		Positive	Unchecked	Unknown		26.4	0.183847763108502			C1	SYBR Green I	Unchecked	3.0977	5.85596131453341	None			25
fasciola_7_04.lc96p	Abs Quant		C2	355Z1	2juv	26.51		Positive	Unchecked	Unknown		26.455	0.0777817459305211			C2	SYBR Green I	Unchecked	3.5495	6.17219364934326	None			26
