target_id	length	eff_length	est_counts	tpm
rnd-1_family-443#LINE/RTE-BovB	165	40.574	60	645.145
rnd-1_family-197#LINE/CR1	2655	2507.5	417.302	72.6045
rnd-1_family-66#LINE/RTE-BovB	793	645.57	308.369	208.392
rnd-1_family-308#DNA/CMC-EnSpm	159	36.0256	10.264	124.296
rnd-1_family-170#LINE/CR1	460	313.695	77.4453	107.706
rnd-1_family-217#Unknown	716	568.57	492	377.516
rnd-1_family-244#Unknown	115	11.1073	84.9335	3335.99
rnd-1_family-262#Unknown	109	8.54028	11.3072	577.611
rnd-1_family-188#LINE/RTE-BovB	157	34.661	93.3369	1174.8
rnd-1_family-406#LINE/CR1-Zenon	199	68.3153	137.872	880.463
rnd-1_family-89#LINE/CR1	1287	1139.5	12.0943	4.6304
rnd-1_family-5#LTR/Pao	2316	2168.5	940.037	189.121
rnd-1_family-404#Unknown	495	348.362	158.755	198.815
rnd-1_family-291#LINE/RTE-BovB	728	580.57	56.6065	42.5368
rnd-1_family-105#LTR/Pao	2505	2357.5	448.544	83.0054
rnd-1_family-171#Unknown	211	78.44	0.00932812	0.0518813
rnd-1_family-325#Unknown	228	92.9139	41.8419	196.465
rnd-1_family-86#LINE/CR1	1953	1805.5	124.902	30.1804
rnd-1_family-240#LINE/CR1	292	150.718	0	0
rnd-1_family-278#LINE/CR1	1154	1006.5	8.26576	3.58279
rnd-1_family-270#LINE/Penelope	596	448.766	97.1633	94.4574
rnd-1_family-254#Unknown	218	84.3942	28.8091	148.926
rnd-1_family-121#Unknown	69	28.6667	330.722	5033.15
rnd-1_family-180#Unknown	73	27.3182	4105.6	65566.1
rnd-1_family-288#LTR/Gypsy	1018	870.503	118.113	59.1948
rnd-1_family-250#Unknown	154	32.6003	185.714	2485.29
rnd-1_family-409#Unknown	134	20.1661	48.1382	1041.41
rnd-1_family-292#Unknown	124	15.001	154.154	4483.19
rnd-1_family-213#Unknown	98	5.89787	89.5555	6624.47
rnd-1_family-426#Unknown	98	5.89787	62.9352	4655.35
rnd-1_family-73#Unknown	1158	1010.5	398.137	171.889
rnd-1_family-414#Unknown	66	25.6667	158.282	2690.39
rnd-1_family-293#LTR/Copia	522	375.182	288.232	335.162
rnd-1_family-448#Unknown	521	374.182	1.23466	1.43952
rnd-1_family-220#Unknown	1327	1179.5	538.591	199.211
rnd-1_family-94#LINE/Penelope	720	572.57	268.491	204.576
rnd-1_family-350#LINE/Rex-Babar	833	685.503	123.494	78.5945
rnd-1_family-39#LINE/CR1	3239	3091.5	47.2671	6.67026
rnd-1_family-4#Unknown	2139	1991.5	101.133	22.1548
rnd-1_family-140#Unknown	196	65.7288	425.252	2822.57
rnd-1_family-138#Unknown	320	176.771	63.5416	156.82
rnd-1_family-87#Unknown	671	523.624	87.2845	72.723
rnd-1_family-246#LTR/Gypsy	1108	960.503	265.13	120.424
rnd-1_family-362#Unknown	141	24.0975	1.46354	26.4965
rnd-1_family-289#Unknown	128	16.8113	1629.88	42296.8
rnd-1_family-277#LTR/Gypsy	535	388.105	0	0
rnd-1_family-12#LTR/Pao	1800	1652.5	1329.72	351.052
rnd-1_family-226#Unknown	301	159.039	94.7431	259.894
rnd-1_family-112#Unknown	437	290.877	499.863	749.715
rnd-1_family-119#LINE/CR1	1172	1024.5	28	11.9234
rnd-1_family-93#LINE/CR1	1821	1673.5	71.4765	18.6333
rnd-1_family-24#Unknown	894	746.503	1027.13	600.274
rnd-1_family-356#Unknown	243	106.052	170.112	699.79
rnd-1_family-390#Unknown	217	83.5604	5.66143	29.5583
rnd-1_family-45#Unknown	848	700.503	152.569	95.019
rnd-1_family-162#Unknown	171	45.2345	35.5375	342.745
rnd-1_family-313#LINE/CR1	677	529.624	586.619	483.217
rnd-1_family-338#LINE/CR1	884	736.503	27	15.9935
rnd-1_family-333#LTR/Gypsy	1227	1079.5	1776.55	717.97
rnd-1_family-156#Unknown	94	12.1488	60.9865	2190.06
rnd-1_family-353#Unknown	422	276.049	479.794	758.27
rnd-1_family-1#LINE/RTE-BovB	3241	3093.5	1517.79	214.05
rnd-1_family-35#Unknown	2383	2235.5	2250.8	439.253
rnd-1_family-60#LINE/CR1	1819	1671.5	77.06	20.113
rnd-1_family-23#Unknown	3227	3079.5	162.88	23.075
rnd-1_family-271#Unknown	402	256.262	634	1079.34
rnd-1_family-387#DNA/MULE-MuDR	918	770.503	0	0
rnd-1_family-316#Unknown	225	90.4206	438.76	2116.97
rnd-1_family-31#Unknown	360	215.29	240.084	486.512
rnd-1_family-355#LINE/CR1-Zenon	546	399.066	721.671	788.948
rnd-1_family-276#LINE/CR1-Zenon	1289	1141.5	745.402	284.884
rnd-1_family-116#LINE/CR1	2689	2541.5	79.6405	13.6709
rnd-1_family-232#LINE/Penelope	526	379.182	307.864	354.213
rnd-1_family-64#LINE/RTE-BovB	653	505.675	1829.42	1578.33
rnd-1_family-173#LINE/RTE-BovB	288	146.978	321.176	953.332
rnd-1_family-55#DNA/hAT-Charlie	441	294.847	112.962	167.143
rnd-1_family-416#Unknown	95	8.42424	81	4194.77
rnd-1_family-158#Unknown	311	168.473	91.0472	235.771
rnd-1_family-377#Unknown	545	398.066	2409.48	2640.72
rnd-1_family-113#LINE/RTE-BovB	455	308.788	512.195	723.652
rnd-1_family-125#LTR/Pao	1934	1786.5	843.53	205.992
rnd-1_family-136#Unknown	110	9.0037	174.839	8471.73
rnd-1_family-321#Unknown	356	211.397	1427.67	2946.34
rnd-1_family-183#Unknown	168	42.9008	277.685	2823.84
rnd-1_family-2#LINE/RTE-BovB	1404	1256.5	3942.68	1368.93
rnd-1_family-275#Unknown	56	21	1	20.7747
rnd-1_family-102#Unknown	168	42.9008	287.317	2921.8
rnd-1_family-219#Unknown	489	342.397	63.9463	81.4778
rnd-1_family-405#Unknown	718	570.57	157.503	120.429
rnd-1_family-199#Unknown	71	26.5238	14.2194	233.884
rnd-1_family-408#Unknown	190	60.727	40.6931	292.343
rnd-1_family-309#Unknown	57	20.6	0	0
rnd-1_family-68#DNA/CMC-EnSpm	1936	1788.5	1876.38	457.704
rnd-1_family-131#Unknown	205	73.3333	15.8742	94.4373
rnd-1_family-264#Unknown	249	111.42	2.88269	11.2872
rnd-1_family-127#LINE/RTE-BovB	1529	1381.5	1046.13	330.36
rnd-1_family-134#Unknown	350	205.606	96.2636	204.258
rnd-1_family-128#LINE/RTE-BovB	604	456.721	476.914	455.558
rnd-1_family-56#LINE/RTE-BovB	111	9.34704	234.878	10962.8
rnd-1_family-92#LINE/CR1	1958	1810.5	221.559	53.388
rnd-1_family-187#LINE/CR1	1334	1186.5	17.0881	6.28316
rnd-1_family-111#LINE/Penelope	962	814.503	1396.55	748.027
rnd-1_family-88#LINE/CR1	1195	1047.5	2	0.832969
rnd-1_family-393#LINE/CR1	2002	1854.5	243.819	57.358
rnd-1_family-310#Unknown	103	6.72273	36.6368	2377.53
rnd-1_family-25#Unknown	665	517.624	68.6198	57.8348
rnd-1_family-50#LINE/CR1	2858	2710.5	91.0207	14.6502
rnd-1_family-155#Unknown	153	31.8704	11.2352	153.797
rnd-1_family-147#LTR/Gypsy	2678	2530.5	2888.5	497.989
rnd-1_family-13#DNA/CMC-EnSpm	731	583.57	836.322	625.222
rnd-1_family-71#LINE/CR1	1167	1019.5	75.2791	32.2136
rnd-1_family-22#LINE/CR1	2446	2298.5	522.486	99.1708
rnd-1_family-0#LINE/RTE-BovB	1756	1608.5	1638.6	444.431
rnd-1_family-330#Unknown	698	550.57	166.606	132.018
rnd-1_family-281#LINE/CR1	1069	921.503	7	3.31402
rnd-1_family-422#Unknown	61	21.9412	3	59.6507
rnd-1_family-16#Unknown	2306	2158.5	1264.08	255.491
rnd-1_family-357#DNA/CMC-EnSpm	634	486.675	97.7851	87.6572
rnd-1_family-222#LINE/Penelope	711	563.57	25.4512	19.7021
rnd-1_family-241#Unknown	428	282.021	489.696	757.529
rnd-1_family-328#Unknown	289	147.948	34.6996	102.322
rnd-1_family-99#LINE/RTE-BovB	153	31.8704	176.913	2421.73
rnd-1_family-166#LINE/RTE-BovB	605	457.721	16.1916	15.4327
rnd-1_family-34#LINE/CR1	2418	2270.5	1712.95	329.138
rnd-1_family-42#Unknown	1397	1249.5	63.6802	22.2342
rnd-1_family-354#LINE/Penelope	480	333.566	5.48936	7.17949
rnd-1_family-38#Unknown	168	42.9008	10.8889	110.732
rnd-1_family-182#Unknown	150	29.8245	60.8106	889.53
rnd-1_family-437#Unknown	68	27.6667	38.2719	603.5
rnd-1_family-15#Unknown	356	211.397	405.071	835.961
rnd-1_family-10#SINE/tRNA	273	133.019	2187.2	7173.45
rnd-1_family-70#LINE/RTE-BovB	759	611.57	347.091	247.6
rnd-1_family-305#LINE/CR1	683	535.624	171	139.28
rnd-1_family-327#LINE/CR1	1297	1149.5	21.3108	8.08805
rnd-1_family-184#LTR/Gypsy	1889	1741.5	1764.67	442.072
rnd-1_family-378#Unknown	166	41.3489	201.083	2121.6
rnd-1_family-62#LINE/RTE-BovB	382	236.856	616.162	1134.92
rnd-1_family-302#Unknown	352	207.482	102.505	215.535
rnd-1_family-224#LINE/Penelope	600	452.766	166.718	160.643
rnd-1_family-36#LINE/RTE-BovB	730	582.57	365.415	273.648
rnd-1_family-235#Unknown	328	184.533	189	446.829
rnd-1_family-167#LINE/CR1	785	637.57	13.0127	8.90415
rnd-1_family-168#LINE/Penelope	666	518.624	74.2019	62.419
rnd-1_family-361#LINE/RTE-BovB	352	207.482	333	700.194
rnd-1_family-137#Unknown	402	256.262	381.795	649.981
rnd-1_family-190#LINE/L1-DRE	342	197.89	91.3697	201.433
rnd-1_family-198#LINE/CR1	1089	941.503	428.199	198.417
rnd-1_family-126#Unknown	528	381.144	110.922	126.964
rnd-1_family-284#Unknown	300	158.056	536.301	1480.31
rnd-1_family-27#LINE/RTE-BovB	1700	1552.5	2368.76	665.645
rnd-1_family-392#Unknown	156	33.9641	15.2547	195.946
rnd-1_family-203#Unknown	329	185.514	21.0467	49.495
rnd-1_family-48#DNA/CMC-EnSpm	569	421.942	359.057	371.248
rnd-1_family-202#LTR/Pao	1044	896.503	16.9592	8.25292
rnd-1_family-185#Unknown	155	33.245	31.1581	408.882
rnd-1_family-163#LINE/Penelope	1092	944.503	279.283	129.002
rnd-1_family-301#Unknown	356	211.397	586.474	1210.33
rnd-1_family-287#Unknown	422	276.049	434.65	686.924
rnd-1_family-205#LINE/RTE-BovB	241	104.321	106.847	446.832
rnd-1_family-85#Unknown	1325	1177.5	767.726	284.445
rnd-1_family-231#Unknown	512	365.219	65.7849	78.5827
rnd-1_family-144#LINE/Penelope	1243	1095.5	714.961	284.723
