"","data.met2","data.ad1","data.met1","data.juv1","data.ad2","data.egg2","data.juv2","data.egg1"
"rnd-1_family-0#LINE/RTE-BovB",881.905114297992,518.280709220427,1078.39312022659,630.825053147571,448.341454478634,514.172240361197,647.318776620246,529.135551237482
"rnd-1_family-100#LINE/RTE-BovB",277.986168468187,466.676003322998,385.436588956968,612.645808105558,400.496654668338,585.758583842027,590.402587116256,466.083931085488
"rnd-1_family-101#Unknown",3391.83481387381,2502.91820357347,2333.7715455651,5448.19702133374,4537.80065979854,1364.3259933754,5307.37778094903,1628.05122334287
"rnd-1_family-102#Unknown",3003.18289450783,2702.8904196652,2263.65706455749,1548.36173252732,4468.64705371988,1762.65368893284,1680.00233723509,3478.66261207147
"rnd-1_family-103#LINE/CR1",62.8391915431561,139.05546487249,109.321095737567,161.45975876572,184.111164699105,55.3602125365081,165.047984526539,24.1588776459019
"rnd-1_family-104#Unknown",0,0,0,0,0,0,0,0
"rnd-1_family-105#LTR/Pao",76.6910928815261,132.4279778467,52.6136463165705,98.5430173781574,316.423067214046,103.219462327497,94.3944655817781,98.8254064867471
"rnd-1_family-106#LINE/RTE-BovB",2482.91713667855,973.182134287469,2731.13356279646,1629.52128283876,1048.03395411035,1301.01211174288,1626.9816674496,1382.67027296381
"rnd-1_family-107#Unknown",2158.39161234281,898.73437626435,1841.16229876601,1599.74869566766,1571.60116937336,695.837835271255,1541.79514196118,1083.05598628115
"rnd-1_family-108#Unknown",129.957882784032,175.054476934051,110.910663693629,273.847125555161,309.835652390338,129.021554317279,269.262282633814,189.247204155674
"rnd-1_family-109#Unknown",50.9412360222344,37.636794380752,45.3058893260284,37.8052149951717,32.7856154568513,52.4233614688594,37.3872031526081,31.9700455812628
"rnd-1_family-10#SINE/tRNA",11200.5694893798,6748.66424861292,13684.9094745907,8224.22245758097,10375.2383759027,7641.14419580594,8276.38440577418,8540.63294863658
"rnd-1_family-110#Unknown",7052.01624033858,6583.78244078516,7784.0471414079,7819.78351381246,8341.24695074287,3808.29873287677,7704.78573812104,3795.84329084764
"rnd-1_family-111#LINE/Penelope",1108.35314799749,529.714983709899,930.532105340774,568.265551152852,662.451592657259,562.128180989348,581.118908760493,890.593852970554
"rnd-1_family-112#Unknown",1936.3095368094,900.305373409992,1367.74976206726,1461.38503585455,1272.34280837615,698.658986164235,1464.66584815747,892.602960013626
"rnd-1_family-113#LINE/RTE-BovB",420.031013201632,901.856484377317,583.791292049142,1150.79582858793,722.048760329627,1103.13642025957,1123.60277052814,861.572309457362
"rnd-1_family-114#DNA/CMC-EnSpm",71.1525294546516,312.617077320207,91.3185563624902,352.325352943482,122.319188658326,99.0632636592135,357.803468509515,61.3283171376846
"rnd-1_family-115#LINE/Penelope",654.201110122793,487.417079688111,650.737840561013,409.353156590263,776.463535102653,344.942062529138,427.836097845512,472.438997358255
"rnd-1_family-116#LINE/CR1",57.8959280741699,89.3052525726503,67.6595811096315,122.509143632477,63.850293096139,43.1228741587752,123.084338650456,16.2764488130066
"rnd-1_family-117#LINE/RTE-BovB",1123.27210812969,808.941063475386,1382.27686273888,1253.59047838952,582.727160135965,1264.40171883874,1227.76917576142,984.070513642735
"rnd-1_family-118#LINE/Penelope",140.934324107728,132.39923343164,124.606097340172,98.0445033520613,250.717955069591,263.205398861555,102.15581886704,340.57964034022
"rnd-1_family-119#LINE/CR1",18.2743118784982,14.9117834433003,18.9898709129348,13.9560616600222,12.1931836007085,14.9313079805782,15.2176522790737,14.1958353879196
"rnd-1_family-11#LINE/CR1",1146.07545725907,439.669188289619,745.694825537858,1031.9146074293,735.483245495561,580.93165234921,1013.09604660874,395.257898771077
